region,per capita,formal wage,child mortality,2020,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,aged,the poor: employable,regional production,retail,living wage
Карачаево-Черкесская Республика,18949.0,29865.0,0.48847205939820243,29634.0,21.7,5.4,207471.5,18.3,2.6,1.9828999999999999,63347.1,86.1,236.4,0.0,1099.3968139403,465528.0,23.2,27.6,6.9,65.5,174293.99950164114,83515,10926.0
Кемеровская область,25433.0,43429.0,0.5721889554224884,84902.0,39.7,11.8,392374.9,16.3,1.0,0.5085000000000001,86241.9,409.9,564.9,7.0,848.2407235310893,2657854.0,13.2,39.7,4.5,55.8,1140624.5289696124,153033,11023.0
Кировская область,24192.0,32692.0,0.3766833035125718,33709.0,56.4,4.1,315153.9,14.9,2.5,0.9234000000000001,74475.5,107.2,446.1,10.2,841.1742059977726,1262402.0,14.0,40.8,3.4,55.7,484981.7087742256,163224,11441.0
Костромская область,25780.0,32220.0,0.777489818585709,20316.0,61.1,8.9,323951.6,14.5,1.5,0.0,71386.8,134.9,446.5,18.9,852.8777915485841,633385.0,12.5,39.9,6.6,53.5,551233.7886119816,179587,11993.0
Краснодарский край,36838.0,38499.0,0.3882839537435638,161271.0,18.3,3.9,460720.2,18.1,1.2,0.7852,67335.5,147.5,277.7,5.9,1043.7035786690142,5675462.0,10.4,39.3,6.9,53.8,383176.5223095494,261857,12191.0
Красноярский край,32832.0,54426.0,0.5278592375366569,77141.0,69.1,14.9,951613.7,16.6,1.8,1.2567,78434.8,165.5,565.5,5.5,1011.249871347804,2866255.0,17.0,35.8,4.8,59.4,1794098.1197834804,196888,13839.0
Курганская область,21860.0,33182.0,0.6191950464396285,25878.0,77.8,22.5,294464.0,16.7,3.2,0.1305,96602.5,288.1,835.3,4.6,898.1268572450995,827166.0,19.3,39.4,2.4,58.2,361819.7023572053,147332,11204.0
Курская область,29786.0,35805.0,0.4609812314784327,52068.0,51.3,5.2,487030.7,17.1,0.6,0.7636000000000001,54094.0,139.5,398.4,0.0,825.2657589437757,1104008.0,9.9,34.2,6.5,59.2,686291.1708973123,207134,10748.0
Ленинградская область,33149.0,48286.0,0.3919499510062562,40640.0,35.3,8.6,661328.6,17.0,3.0,3.8308,66653.9,123.9,457.1,5.2,707.2444175295543,1875872.0,8.7,19.0,17.0,64.1,1383181.2562904079,255646,12231.0
Липецкая область,32226.0,36790.0,0.3727766535307275,40127.0,68.6,5.7,546151.3,16.5,0.2,0.6077,66621.8,60.0,468.1,3.8,824.0511650726585,1139371.0,8.4,40.0,0.8,59.3,1367916.2060470206,236552,10627.0
